file,version,size,date,decision,n,wr,avg_pnl,detail
v261_current_supply_mismatch_closure_latest.json,261,28006,2026-07-02T09:43:32,NO_PROMOTION__CURRENT_COMPATIBLE_RULES_WITH_REAL_CURRENT_HITS_DO_NOT_PASS_PRODUCTION__V259_HISTORICAL_PASS_IS_SHADOW_ONLY,,,,
v275_temporal_sequence_signature_audit_latest.json,275,71577,2026-07-02T16:35:53,NO_PRODUCTION_WRITE__TEMPORAL_COMBO_PARAM_AUDIT_ONLY,26402,43.4929,0.0843,
v313_v185_active_pick_lifecycle_audit_latest.json,313,845,2026-07-07T09:31:02,NO_ACTIVE_ROWS,,,,
v314_v185_active_executable_exit_audit_latest.json,314,953,2026-07-07T09:31:02,NO_MECHANICAL_CLOSE_REQUIRED_NO_WRITE,,,,
v327_v326_current_candidate_executable_replay_latest.json,327,27908,2026-07-09T15:34:16,V327_OPEN_CURRENT_ROWS_REQUIRE_ENDPOINT_MAPPING_SMOKE__NO_WRITE,,,,
v328_current_supply_gap_relaxed_gate_latest.json,328,98275,2026-07-09T15:10:19,V328_NO_RELAXED_ROUTE_PASSES_HISTORICAL_GATE_AND_HAS_OPEN_CURRENT_SUPPLY__KEEP_V185,570,93.0,7.6,
v339_conservative_samebar_audit_latest.json,339,1661,2026-07-09T17:22:25,V339_CONSERVATIVE_PASS__READY_FOR_SHADOW_PROMOTION_REVIEW,570,93.0,7.6,
v344_v343_robustness_audit_latest.json,344,4736,2026-07-10T06:58:46,V344_ROBUSTNESS_FAIL__DO_NOT_PROMOTE_UNTIL_FIXES,744,95.8333,7.7639,
v346_v343_failure_closure_latest.json,346,2602,2026-07-10T13:51:21,V344_ROBUSTNESS_FAIL__DO_NOT_PROMOTE_UNTIL_FIXES || V343_REMAINS_RESEARCH_SHADOW__DO_NOT_PROMOTE__EXIT_TUNING_EXHAUSTED,13,84.62,4.4971,
v351_semantic_oracle_latest.json,351,1306,2026-07-11T05:37:39,SEMANTIC_ORACLE_READY__LIFECYCLE_REBUILD_NEXT,,,,
v356_historical_lifecycle_effect_report.json,356,26699,,,,,,
v356_independent_semantic_oracle_latest.json,356,2710,2026-07-11T05:43:35,SEMANTIC_DIFFERENTIAL_PASS__LIFECYCLE_INPUT_CONTRACT_CONFIRMED,,,,
v357_persistent_takeover_daily_t1_replay_latest.json,357,10566,2026-07-11T09:14:06,,51332,,,
v358_unique_persistent_takeover_daily_t1_replay_latest.json,358,10616,2026-07-11T11:20:54,,38480,,,
v359_persistent_takeover_semantic_failure_audit_latest.json,359,5928,2026-07-11T11:24:07,,17,,,
v360_canonical_persistent_takeover_daily_t1_replay_latest.json,360,3415,2026-07-12T12:40:14,CANONICAL_CONTINUATION_FAIL__NO_PROMOTION,13761,,,
v360_persistent_takeover_stability_gate_audit_no_write.json,360,20446,,RESEARCH_GATE_CANDIDATES_ONLY__REQUIRES_INDEPENDENT_REPLAY,38480,72.23,0.182,
v361_pre_entry_gate_grid_audit_no_write.json,361,30280,,CANDIDATE_RESEARCH_ONLY_REQUIRES_INDEPENDENT_GENERATOR_REPLAY,4146,77.06,0.504,
v361_visible_conjunction_gate_stability_no_write.json,361,25687,,RESEARCH_CANDIDATES_FOUND__NEED_INDEPENDENT_CONSTRUCTIVE_REPLAY,38480,72.23,0.1822,
v362_candidate_gate_chrono_robustness_no_write.json,362,16236,,NO_PRODUCTION_PROMOTION__CANDIDATE_GATE_HAS_CHRONO_STRESS_FAILURES,4146,77.06,0.504,
v363_visible_gate_walk_forward_stress_no_write.json,363,22621,,NO_PRODUCTION_PROMOTION__ALL_WALK_FORWARD_SELECTED_GATES_OR_ROLLING_STRESS_FAIL,1222,75.53,0.9505,
v364_top_visible_gate_semantic_deployability_no_write.json,364,3752,,REJECT_AS_PRODUCTION_GATE__statistical_survival_does_not_override_semantic_mismatch_and_thin_boundary_year_samples,539,,,
v365_v333_rule_walkforward_closure_latest.json,365,22316,2026-07-11T19:21:57,RESEARCH_CANDIDATE_ONLY__REQUIRES_INDEPENDENT_SEMANTIC_REDERIVATION,120,90.0,7.0,
v366_v365_candidate_causality_audit_latest.json,366,1687,2026-07-11T19:24:35,REJECT_V365_APPARENT_SURVIVOR__ENTRY_PRECEDES_ITS_REQUIRED_TAKEOVER_CONFIRMATION__FUTURE_DATA_CONTAMINATION,402,,,
v368_v367_independent_causality_audit_latest.json,368,695,2026-07-12T15:01:23,CAUSALITY_PASS__V367_ENTRY_AND_T1_CONTRACT_HOLD,11149,,,
v379_sina_m60_raw_daily_data_gate_latest.json,379,2071,2026-07-12T10:36:39,DATA_GATE_PASS__RAW_DAILY_SEMANTIC_ORACLE_ALLOWED,,,,
v380_raw_daily_independent_semantic_oracle_latest.json,380,2203,2026-07-12T11:03:41,SEMANTIC_DIFFERENTIAL_PASS__MTF_REPLAY_ALLOWED,,,,
v381_true_mtf_raw_daily_poi_m60_replay_latest.json,381,1720,2026-07-12T11:11:19,NO_PRODUCTION_PASS__TRUE_MTF_BRANCH_CLOSED,4832,35.3891,-0.1562,
v382_pit_cross_sectional_participation_gate_latest.json,382,1227,2026-07-12T11:23:12,PIT_CONTEXT_DATA_GATE_PASS__OUTCOME_BLIND_REPLAY_ALLOWED,,,,
v383_pit_participation_outcome_replay_latest.json,383,3971,2026-07-12T11:23:55,NO_CONTEXT_INFORMATION__CROSS_SECTIONAL_STATE_BRANCH_CLOSED,4832,35.3891,-0.1562,
v384_pit_behavior_cohort_data_gate_latest.json,384,1195,2026-07-12T11:27:36,PIT_BEHAVIOR_COHORT_GATE_PASS__OUTCOME_REPLAY_ALLOWED,,,,
v385_pit_behavior_cohort_outcome_replay_latest.json,385,3895,2026-07-12T11:28:39,NO_CONTEXT_INFORMATION__BEHAVIOR_COHORT_BRANCH_CLOSED,4832,35.3891,-0.1562,
v386_pit_disclosure_availability_latest.json,386,1044,2026-07-12T12:23:56,PIT_DISCLOSURE_AVAILABILITY_PASS__OUTCOME_BLIND_EVENT_SCHEMA_ALLOWED,,,,
v387_pit_disclosure_event_schema_latest.json,387,1872,2026-07-12T12:25:41,PIT_DISCLOSURE_SCHEMA_PASS__OUTCOME_BLIND_REPLAY_ALLOWED,,,,
v388_pit_disclosure_outcome_replay_latest.json,388,6463,2026-07-12T12:31:01,DISCLOSURE_CONTEXT_INFORMATION_FOUND__CANDIDATE_LEVEL_REPLAY_REQUIRED,4832,35.3891,-0.1562,
v389_pit_disclosure_exact_window_schema_latest.json,389,1914,2026-07-12T12:33:12,PIT_DISCLOSURE_EXACT_WINDOW_PASS__OUTCOME_REPLAY_ALLOWED,,,,
v390_pit_disclosure_exact_window_outcome_replay_latest.json,390,6452,2026-07-12T14:50:30,NO_CONTEXT_INFORMATION__EXACT_WINDOW_DISCLOSURE_BRANCH_CLOSED,4832,35.3891,-0.1562,
v391_pit_fundamental_disclosure_walkforward_latest.json,391,4707,2026-07-12T14:51:54,FUNDAMENTAL_DISCLOSURE_ASSOCIATION_REAL_BUT_INSUFFICIENT_FOR_PROMOTION__BRANCH_CLOSED,4832,35.3891,-0.1562,
v392_pit_disclosure_window_robustness_latest.json,392,28781,2026-07-12T14:55:36,WINDOW_ROBUSTNESS_DATA_GATE_FAIL__STOP,4832,35.3891,-0.1562,
v394_pit_lhb_outcome_replay_latest.json,394,3791,2026-07-12T15:26:24,NO_CONTEXT_INFORMATION__LHB_BRANCH_CLOSED,4832,35.3891,-0.1562,
v403_pit_shareholder_frozen_outcome_replay_latest.json,403,24572,2026-07-12T20:02:47,PIT_HOLDER_FEATURES_NO_DISCOVERY_PASS__CLOSE_HOLDER_BRANCH,4807,,,
v405_pit_block_trade_frozen_outcome_replay_latest.json,405,10572,2026-07-12T20:21:21,NO_CONTEXT_INFORMATION__BLOCK_TRADE_BRANCH_CLOSED,4832,,,
v410_frozen_combo_t1_mark_replay_latest.json,410,3291,2026-07-13T10:57:28,FROZEN_COMBO_QUALITY_READY__REQUIRE_YEARLY_STABILITY_AND_INDEPENDENT_SEMANTIC_AUDIT_BEFORE_PROMOTION,564,,,
v413_research_program_closure_latest.json,413,10537,2026-07-21T10:38:38,,,,,
v415_v352_to_v359_research_lineage_closure_no_write.json,415,2228,,"CLOSE_V352_LINE__V352 is an independently reproducible upstream lifecycle rerun of the V354→V358→V359 research line, not a new eligible generator. A second outcome replay would violate the frozen single-replay rule.",,,,
v415_v352_to_v360_research_lineage_closure_no_write.json,415,2730,,,300,,,
v416_structure_flip_frozen_t1_replay_latest.json,416,7341,2026-07-15T22:01:04,REPLAY_COMPLETE__RUN_STABILITY_AND_MECHANISM_AUDIT,79303,,,
v417_strict_semantic_frozen_t1_replay_latest.json,417,10311,2026-07-13T20:24:54,STRICT_SEMANTIC_COMBINATION_DIAGNOSTIC_COMPLETE__DO_NOT_PROMOTE_UNLESS_FROZEN_ANNUAL_GATE_PASSES,172,,,
v418_post_reclaim_expansion_frozen_t1_replay_latest.json,418,7384,2026-07-15T22:01:42,REPLAY_COMPLETE__RUN_STABILITY_AND_MECHANISM_AUDIT,36324,,,
v418_strict_semantic_closure_correction_latest.json,418,1460,2026-07-13T20:26:20,STRICT_SEMANTIC_DAILY_CAUSAL_COMBINATIONS_CLOSED__0_OF_6_FROZEN_ANNUAL_GATES_PASS__NO_THRESHOLD_WINDOW_OR_EXIT_MINING__NO_PRODUCTION_PROMOTION,,,,
v419_strict_semantic_replay_integrity_latest.json,419,1395,2026-07-13T20:34:38,INTEGRITY_PASS__V417_STRICT_SEMANTIC_RESULTS_ARE_CAUSAL_AND_T1_ALIGNED,,,,
v419_structure_flip_expansion_closure_latest.json,419,4897,2026-07-15T22:05:23+08:00,CLOSE_STRUCTURE_FLIP_BRANCH__EXPANSION_IMPROVES_SIGNAL_WIN_RATE_BUT_NOT_ECONOMICS,21109,,,
v421_eql_pool_reversal_frozen_t1_replay_latest.json,421,4136,2026-07-13T20:57:04,R3_INSUFFICIENT_FULL_HISTORY_SUPPORT__NO_PROMOTION_OR_THRESHOLD_MINING,11,,,
v421_eql_spring_frozen_structural_replay_latest.json,421,3506,2026-07-15T07:47:13,RESEARCH_ONLY__ASSESS_ECONOMIC_AND_YEARLY_STABILITY_BEFORE_ANY_PROMOTION,169,,-0.8013,
v421_r3_eql_pool_supply_closure_latest.json,421,1236,,R3_EQL_POOL_SSL_CHOCH_DEMAND_OB_CLOSED__SEMANTICALLY_VALID_BUT_INSUFFICIENT_SUPPLY__NO_THRESHOLD_OR_WINDOW_RELAXATION,,,,
v422_pure_structure_closure_latest.json,422,543,,LOCAL_DAILY_PURE_STRUCTURE_FRONTIER_CLOSED__NO_PROMOTION__DO_NOT_REOPEN_R1_R2_C1_R3_WITH_THRESHOLD_WINDOW_OR_EXIT_MINING,,,,
v423_failed_breakdown_frozen_replay_latest.json,423,3569,2026-07-15T07:49:49,RESEARCH_ONLY__ASSESS_ECONOMIC_AND_YEARLY_STABILITY_BEFORE_ANY_PROMOTION,26215,,-0.8558,
v424_failed_breakdown_hierarchical_replay_latest.json,424,3618,2026-07-15T07:52:00,RESEARCH_ONLY__ASSESS_ECONOMIC_AND_YEARLY_STABILITY_BEFORE_ANY_PROMOTION,26199,,-0.4846,
v425_range_accumulation_breaker_frozen_t1_replay_latest.json,425,4279,2026-07-13T21:14:41,R4_FROZEN_DIAGNOSTIC_COMPLETE__PROMOTION_ONLY_IF_ANNUAL_GATE_PASSES,2022,,,
v426_r4_range_accumulation_breaker_closure_latest.json,426,3047,2026-07-13T21:15:30+08:00,R4_CLOSED_ECONOMIC__0_OF_2_FROZEN_HORIZONS_PASS__DO_NOT_REOPEN_WITH_RANGE_WIDTH_SWEEP_DEPTH_HOLDING_PERIOD_STOP_TARGET_OR_THRESHOLD_MINING__NO_PRODUCTION_PROMOTION,2022,,,
v429_po3_breaker_frozen_t1_replay_latest.json,429,4138,2026-07-13T21:26:45,R5_FROZEN_DIAGNOSTIC_COMPLETE__PROMOTION_ONLY_IF_ANNUAL_GATE_PASSES,395,,,
v430_local_daily_pure_structure_r4_r5_closure_latest.json,430,3016,2026-07-13T21:27:15+08:00,,,,,
v431_local_daily_structure_frontier_closure_latest.json,431,2801,2026-07-14T07:35:47,LOCAL_DAILY_PURE_STRUCTURE_RESEARCH_COMPLETE__NO_DEFINED_LEGAL_NEXT_REPLAY,,,,
v435_supply_failure_breaker_independent_oracle_latest.json,435,1326,2026-07-14T10:48:51,INDEPENDENT_SEMANTIC_ORACLE_PASS__FROZEN_T1_REPLAY_NEXT,,,,
v436_supply_failure_breaker_frozen_t1_replay_latest.json,436,2958,2026-07-14T10:54:58,SUPPLY_FAILURE_BREAKER_ECONOMIC_GATE_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,68632,,,
v438_target_first_dol_independent_oracle_latest.json,438,1316,2026-07-14T13:24:49,INDEPENDENT_SEMANTIC_ORACLE_PASS__FROZEN_T1_REPLAY_NEXT,,,,
v439_target_first_dol_frozen_t1_replay_latest.json,439,2850,2026-07-14T13:28:04,TARGET_FIRST_DOL_ECONOMIC_GATE_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,28335,,,
v441_protected_swing_transfer_independent_oracle_latest.json,441,1189,2026-07-14T13:48:39,INDEPENDENT_SEMANTIC_ORACLE_PASS__FROZEN_T1_REPLAY_NEXT,,,,
v442_protected_swing_transfer_frozen_t1_replay_latest.json,442,2881,2026-07-14T13:51:38,PROTECTED_SWING_TRANSFER_ECONOMIC_GATE_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,19128,,,
v443_causal_production_rebuild_program_closure_latest.json,443,2814,2026-07-14T13:55:00,CAUSAL_PRODUCTION_REBUILD_COMPLETE__NO_PROMOTABLE_LOCAL_PURE_STRUCTURE_STRATEGY__KEEP_EMPTY_BOOK,27937,,,
v444_current_causal_production_closure_verification_latest.json,444,2009,2026-07-14T19:51:47+08:00,GOAL_COMPLETE__FAIL_CLOSED_CURRENT_DATA_PRODUCTION_CONTROL_VERIFIED__KEEP_EMPTY_BOOK,,,,
v448_ssl_bpr_independent_oracle_latest.json,448,956,2026-07-14T20:45:29,INDEPENDENT_SEMANTIC_ORACLE_PASS__FROZEN_REPLAY_ALLOWED,,,,
v449_ssl_bpr_frozen_t1_replay_latest.json,449,3815,2026-07-14T20:48:05,SSL_BPR_ECONOMIC_GATE_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,8719,55.0,0.5,
v451_local_pure_structure_new_directions_closure_latest.json,451,9997,,NEW_DIRECTIONS_TESTED__NO_PROMOTABLE_STRATEGY__CLOSE_BPR_AND_EQH_COMPRESSION_WITHOUT_VARIANTS,4243,54.2738,-0.1565,
v454_turtle_soup_independent_oracle_latest.json,454,976,2026-07-14T21:27:26,INDEPENDENT_ORACLE_PASS__FROZEN_T1_REPLAY_ALLOWED,,,,
v455_turtle_soup_frozen_t1_replay_latest.json,455,3860,2026-07-14T21:31:13,TURTLE_SOUP_ECONOMIC_GATE_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,208423,55.0,0.5,
v456_post_v451_pure_structure_direction_closure_latest.json,456,2900,2026-07-14T21:32:00,ADDITIONAL_DIRECTIONS_TESTED__NO_PROMOTABLE_STRATEGY,27611,70.6705,0.1977,
v458_weekly_rejection_block_independent_oracle_latest.json,458,1039,2026-07-14T23:34:57,WEEKLY_REJECTION_BLOCK_ORACLE_PASS__FROZEN_T1_REPLAY_ALLOWED,,,,
v459_weekly_rejection_block_frozen_t1_replay_latest.json,459,3983,2026-07-14T23:38:14,WEEKLY_REJECTION_BLOCK_ECONOMIC_GATE_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,38787,55.0,0.5,
v460_weekly_rejection_block_direction_closure_latest.json,460,3166,2026-07-14T23:39:06+08:00,WEEKLY_REJECTION_BLOCK_ECONOMIC_GATE_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,38787,56.8055,0.5351,
v462_market_smt_independent_oracle_latest.json,462,1357,2026-07-15T06:56:04,MARKET_SMT_INDEPENDENT_ORACLE_PASS__FROZEN_T1_REPLAY_NEXT,,,,
v463_market_smt_frozen_t1_replay_latest.json,463,6361,2026-07-15T06:57:09,MARKET_SMT_ECONOMIC_GATE_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,67408,55.0,0.5,
v464_market_smt_direction_closure_latest.json,464,5373,2026-07-15T06:58:33,MARKET_SMT_CAUSAL_BUT_ECONOMICALLY_WORSE__CLOSE_ONTOLOGY_NO_VARIANTS,67408,71.1178,-0.1742,
v466_industry_smt_independent_oracle_latest.json,466,1435,2026-07-15T07:37:02,INDUSTRY_SMT_INDEPENDENT_ORACLE_PASS__FROZEN_T1_REPLAY_NEXT,,,,
v467_industry_smt_frozen_t1_replay_latest.json,467,7049,2026-07-15T07:38:41,INDUSTRY_SMT_ECONOMIC_GATE_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,58489,55.0,0.5,
v468_industry_smt_direction_closure_latest.json,468,5549,2026-07-15T07:39:48,INDUSTRY_SMT_CAUSAL_BUT_ECONOMICALLY_NEGATIVE__CLOSE_ONTOLOGY_NO_VARIANTS,58489,71.715,-0.1207,
v470_industry_lead_stock_lag_oracle_latest.json,470,1195,2026-07-15T08:03:25,INDUSTRY_LEAD_STOCK_LAG_ORACLE_PASS__FROZEN_T1_REPLAY_NEXT,,,,
v471_industry_lead_stock_lag_frozen_t1_replay_latest.json,471,7092,2026-07-15T08:04:29,INDUSTRY_LEAD_STOCK_LAG_ECONOMIC_GATE_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,32559,55.0,0.5,
v472_industry_lead_stock_lag_closure_latest.json,472,6954,2026-07-15T08:05:17,TEMPORAL_INDUSTRY_LEAD_HAS_REAL_AGGREGATE_INFORMATION_BUT_FAILS_ALL_YEAR_STABILITY__CLOSE_NO_VARIANTS,32559,71.3478,0.7101,
v474_inducement_sweep_oracle_latest.json,474,916,2026-07-15T08:34:16,INDEPENDENT_ORACLE_PASS__FROZEN_T1_REPLAY_ALLOWED,,,,
v475_inducement_sweep_frozen_t1_replay_latest.json,475,3879,2026-07-15T08:34:36,INDUCEMENT_SWEEP_ECONOMIC_GATE_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,6223,55.0,0.5,
v476_inducement_sweep_direction_closure_latest.json,476,5984,2026-07-15T08:35:31,INTERNAL_INDUCEMENT_SWEEP_HAS_HIGH_HEADLINE_WR_BUT_FAILS_PAYOFF_AND_ALL_YEAR_EXPECTANCY__CLOSE_NO_VARIANTS,6223,74.3983,0.0744,
v478_double_ssl_absorption_oracle_latest.json,478,1024,2026-07-15T09:42:28,DOUBLE_SSL_ABSORPTION_ORACLE_PASS__FROZEN_T1_REPLAY_ALLOWED,,,,
v479_double_ssl_absorption_frozen_t1_replay_latest.json,479,3906,2026-07-15T09:44:27,DOUBLE_SSL_ABSORPTION_ECONOMIC_GATE_FAIL__INDEPENDENT_METRIC_AUDIT_THEN_CLOSE,24236,55.0,0.5,
v480_double_ssl_absorption_direction_closure_latest.json,480,5388,2026-07-15T09:46:45,DOUBLE_SSL_ABSORPTION_IMPROVES_SINGLE_RAID_BUT_FAILS_PAYOFF_PF_AND_ALL_YEAR_EXPECTANCY__CLOSE_NO_VARIANTS,24236,74.0767,0.218,
v482_two_sided_liquidity_purge_oracle_latest.json,482,1039,2026-07-15T10:01:22,TWO_SIDED_PURGE_ORACLE_PASS__FROZEN_T1_REPLAY_ALLOWED,,,,
v483_two_sided_liquidity_purge_frozen_t1_replay_latest.json,483,4051,2026-07-15T10:03:08,TWO_SIDED_PURGE_ECONOMIC_GATE_FAIL__INDEPENDENT_METRIC_AUDIT_THEN_CLOSE,12311,55.0,0.5,
v484_two_sided_liquidity_purge_direction_closure_latest.json,484,5679,2026-07-15T10:07:54,TWO_SIDED_LIQUIDITY_PURGE_SEMANTICALLY_VALID_BUT_FAILS_EXPECTANCY_PF_AND_ALL_YEAR_STABILITY__CLOSE_NO_VARIANTS,12311,57.4648,0.1969,
v486_bsl_acceptance_retest_oracle_latest.json,486,1018,2026-07-15T10:22:24,BSL_ACCEPTANCE_ORACLE_PASS__FROZEN_T1_REPLAY_ALLOWED,,,,
v487_bsl_acceptance_retest_frozen_t1_replay_latest.json,487,4063,2026-07-15T10:24:54,BSL_ACCEPTANCE_ECONOMIC_GATE_FAIL__INDEPENDENT_METRIC_AUDIT_THEN_CLOSE,62567,55.0,0.5,
v488_bsl_acceptance_retest_direction_closure_latest.json,488,5523,2026-07-15T10:26:22,BSL_ACCEPTANCE_RETEST_IS_CAUSAL_BUT_NEGATIVE_AFTER_FEES_AND_UNSTABLE_BY_YEAR__CLOSE_NO_VARIANTS,62567,56.5756,-0.0402,
v490_weekly_bos_demand_transfer_oracle_latest.json,490,879,2026-07-15T11:15:28,WEEKLY_BOS_DEMAND_ORACLE_PASS__FROZEN_T1_REPLAY_ALLOWED,,,,
v491_weekly_bos_demand_transfer_frozen_t1_replay_latest.json,491,3916,2026-07-15T11:31:09,WEEKLY_BOS_DEMAND_ECONOMIC_GATE_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,58569,55.0,0.5,
v492_weekly_bos_demand_independent_metric_audit_latest.json,492,1272,,,57038,66.8905,0.3769,
v494_weekly_fvg_demand_transfer_oracle_latest.json,494,881,2026-07-15T13:30:42,WEEKLY_FVG_TRANSFER_ORACLE_PASS__FROZEN_T1_REPLAY_ALLOWED,,,,
v495_weekly_fvg_demand_transfer_frozen_t1_replay_latest.json,495,3919,2026-07-15T13:32:23,WEEKLY_FVG_TRANSFER_ECONOMIC_GATE_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,35781,55.0,0.5,
v496_weekly_fvg_demand_independent_metric_audit_latest.json,496,3279,,INDEPENDENT_METRIC_AND_CHRONOLOGY_PASS__ECONOMIC_FAILURE_CONFIRMED,34836,56.7028,0.3379,
v497_weekly_fvg_demand_transfer_direction_closure_latest.json,497,3779,2026-07-15T13:35:00,WEEKLY_FVG_TRANSFER_CAUSAL_BUT_FAILS_EXPECTANCY_PF_AND_ALL_YEAR_STABILITY__CLOSE_NO_VARIANTS,35781,56.7028,0.3379,
v499_weekly_breaker_daily_transfer_oracle_latest.json,499,900,2026-07-15T13:52:28,WEEKLY_BREAKER_TRANSFER_ORACLE_PASS__FROZEN_T1_REPLAY_ALLOWED,,,,
v500_weekly_breaker_daily_transfer_frozen_t1_replay_latest.json,500,3941,2026-07-15T21:22:03,WEEKLY_BREAKER_TRANSFER_ECONOMIC_GATE_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,67684,55.0,0.5,
v501_weekly_breaker_daily_transfer_independent_metric_audit_latest.json,501,3299,,INDEPENDENT_METRIC_AND_CHRONOLOGY_PASS__ECONOMIC_FAILURE_CONFIRMED,66285,67.4331,0.3782,
v501_weekly_breaker_independent_metric_audit_latest.json,501,3383,2026-07-15T20:13:17,WEEKLY_BREAKER_TRANSFER_VERIFIED_ECONOMIC_FAIL__CLOSE_ONTOLOGY_NO_VARIANTS,50605,68.1889,0.3668,
