symbol,entry_date,src,year,month,combo,sub_signals,rank,board,buy_date,buy_price,sell_date,sell_price,net_pnl_pct,hold_bars,reason,tp,sl,risk_pct,mfe_pct,mae_pct,rr_exit,trend_state,breakout_date,breakout_price,breakout_kind,retrace_price,retrace_state,retrace_signal,stage_span,adx_span,last_event_kind,last_event_date,events_tail,j_p_valid,j_trend,j_trend_conf,j_timing,j_timing_conf,j_tpsl,j_tpsl_conf,j_direction,j_direction_conf
600219.SH,20231215,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231214"", ""detail"": ""南山铝业:山东南山铝业股份有限公司以集中竞价交易方式回购股份方案公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231215"", ""detail"": ""次日开盘/回踩0.99限价""}]",4,SH_MAIN,20231215,2.119,20231218,2.075,-2.4856,1,SL_HIT,2.409,2.075,2.09,-0.9438414346389812,-3.7753657385559247,-1.0,down,20231213,2.099,BOS↓,2.139,retrace_fail,反抽收复(破位失败),39,17,BOS↓,20231213,"[{""date"": ""20231018"", ""kind"": ""BOS↓"", ""level"": 2.369}, {""date"": ""20231129"", ""kind"": ""BOS↓"", ""level"": 2.209}, {""date"": ""20231213"", ""kind"": ""BOS↓"", ""level"": 2.099}]",0.34,strong_down,0.63,2.1,0.44,tp_sys_ok,0.49,down,0.59
002568.SZ,20231218,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231215"", ""detail"": ""百润股份:回购报告书""}, {""name"": ""入场(T+1)"", ""date"": ""20231218"", ""detail"": ""次日开盘/回踩0.99限价""}]",3,SZ_MAIN,20231218,22.805,20231219,22.474,-1.8487,1,SL_HIT,27.295,22.474,1.452,-0.21771875472765823,-1.8840455784236987,-1.0,down,20231129,25.185,CHoCH↓,25.225,retrace_ok,反抽受限(延续下跌),3,7,CHoCH↓,20231129,"[{""date"": ""20230925"", ""kind"": ""BOS↓"", ""level"": 28.795}, {""date"": ""20231109"", ""kind"": ""CHoCH↑"", ""level"": 26.565}, {""date"": ""20231129"", ""kind"": ""CHoCH↓"", ""level"": 25.185}]",0.35,mild_down,0.37,1.99,0.76,tp_sys_ok,0.67,down,0.64
002985.SZ,20231218,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231215"", ""detail"": ""北摩高科:关于北摩高科控股股东暨实际控制人增持股份的法律意见书""}, {""name"": ""入场(T+1)"", ""date"": ""20231218"", ""detail"": ""次日开盘/回踩0.99限价""}]",4,SZ_MAIN,20231218,33.568,20240104,33.617,-0.2539,12,TIME_STOP,39.327,30.168,10.127,3.601860466224771,-6.9439193897270375,0.014,down,20231205,35.727,CHoCH↓,35.997,retrace_ok,反抽受限(延续下跌),13,22,CHoCH↓,20231205,"[{""date"": ""20231102"", ""kind"": ""CHoCH↑"", ""level"": 34.777}, {""date"": ""20231113"", ""kind"": ""BOS↑"", ""level"": 35.727}, {""date"": ""20231205"", ""kind"": ""CHoCH↓"", ""level"": 35.727}]",0.32,mild_down,0.41,1.78,0.64,tp_sys_ok,0.59,down,0.71
301115.SZ,20231218,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231215"", ""detail"": ""建科股份:东吴证券关于建科股份使用部分超募资金以集中竞价交易方式回购公司股份方案""}, {""name"": ""入场(T+1)"", ""date"": ""20231218"", ""detail"": ""次日开盘/回踩0.99限价""}]",4,CYB,20231218,17.919,20231221,17.614,-2.0989,3,SL_HIT,19.23,17.614,1.703,0.34042078240972273,-3.007980356046658,-1.0,down,20231130,18.66,CHoCH↓,18.84,retrace_ok,反抽受限(延续下跌),11,1,CHoCH↓,20231130,"[{""date"": ""20230831"", ""kind"": ""CHoCH↓"", ""level"": 22.76}, {""date"": ""20231108"", ""kind"": ""CHoCH↑"", ""level"": 18.78}, {""date"": ""20231130"", ""kind"": ""CHoCH↓"", ""level"": 18.66}]",0.3,mild_down,0.69,1.8,0.7,tp_sys_ok,0.52,down,0.73
600703.SH,20231218,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231215"", ""detail"": ""三安光电:三安光电股份有限公司关于以集中竞价交易方式首次回购公司股份的公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231218"", ""detail"": ""次日开盘/回踩0.99限价""}]",3,SH_MAIN,20231218,13.298,20231221,13.0,-2.635,3,SL_HIT,15.382,13.0,2.24,1.3861064486436758,-2.298746849074418,-1.0,down,20231205,13.502,BOS↓,13.892,retrace_ok,反抽受限(延续下跌),40,15,BOS↓,20231205,"[{""date"": ""20231115"", ""kind"": ""CHoCH↓"", ""level"": 14.672}, {""date"": ""20231122"", ""kind"": ""BOS↓"", ""level"": 14.252}, {""date"": ""20231205"", ""kind"": ""BOS↓"", ""level"": 13.502}]",0.37,strong_down,0.67,1.93,0.63,tp_sys_ok,0.65,down,0.65
000404.SZ,20231220,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231219"", ""detail"": ""长虹华意:关于公司董事、高级管理人员增持公司股份的公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231220"", ""detail"": ""次日开盘/回踩0.99限价""}]",2,SZ_MAIN,20231220,5.06,20231221,4.946,-2.6398,1,SL_HIT,5.5,4.946,2.244,-0.19762845849802257,-2.9644268774703497,-1.0,down,20231208,5.17,CHoCH↓,5.21,retrace_ok,反抽受限(延续下跌),1,26,CHoCH↓,20231208,"[{""date"": ""20231106"", ""kind"": ""BOS↑"", ""level"": 5.33}, {""date"": ""20231117"", ""kind"": ""BOS↑"", ""level"": 5.44}, {""date"": ""20231208"", ""kind"": ""CHoCH↓"", ""level"": 5.17}]",0.36,mild_down,0.46,1.99,0.73,tp_sys_ok,0.63,down,0.67
000703.SZ,20231220,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231219"", ""detail"": ""恒逸石化:关于以集中竞价交易方式回购股份(第四期)的回购报告书""}, {""name"": ""入场(T+1)"", ""date"": ""20231220"", ""detail"": ""次日开盘/回踩0.99限价""}]",5,SZ_MAIN,20231220,6.498,20240108,6.548,0.3681,12,TIME_STOP,7.008,6.317,2.792,2.923976608187129,-2.6161895967990123,0.276,down,20231121,6.798,CHoCH↓,6.828,retrace_ok,反抽受限(延续下跌),35,13,CHoCH↓,20231121,"[{""date"": ""20230928"", ""kind"": ""BOS↓"", ""level"": 7.178}, {""date"": ""20231030"", ""kind"": ""CHoCH↑"", ""level"": 7.068}, {""date"": ""20231121"", ""kind"": ""CHoCH↓"", ""level"": 6.798}]",0.33,mild_down,0.42,1.82,0.65,tp_sys_ok,0.6,down,0.68
000975.SZ,20231220,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231219"", ""detail"": ""银泰黄金:关于控股股东增持股份超过1%的公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231220"", ""detail"": ""次日开盘/回踩0.99限价""}]",2,SZ_MAIN,20231220,14.55,20231227,15.52,6.2535,5,TP2_RUNNER,15.52,14.056,3.395,7.147766323024052,0.27491408934707806,1.964,up,20231129,14.42,CHoCH↑,14.26,retrace_ok,回踩到位(接多窗口),5,32,CHoCH↑,20231129,"[{""date"": ""20231030"", ""kind"": ""CHoCH↓"", ""level"": 13.85}, {""date"": ""20231106"", ""kind"": ""BOS↓"", ""level"": 13.08}, {""date"": ""20231129"", ""kind"": ""CHoCH↑"", ""level"": 14.42}]",0.7,strong_up,0.41,2.72,0.72,tp_sys_ok,0.89,up,0.44
002568.SZ,20231220,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231219"", ""detail"": ""百润股份:关于首次回购公司股份的公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231220"", ""detail"": ""次日开盘/回踩0.99限价""}]",4,SZ_MAIN,20231220,22.527,20231221,22.205,-1.8283,1,SL_GAP,26.495,22.461,0.295,3.5403474427864623,-1.653316287462614,-4.858,down,20231218,22.775,BOS↓,22.755,retrace_ok,反抽受限(延续下跌),5,9,BOS↓,20231218,"[{""date"": ""20231109"", ""kind"": ""CHoCH↑"", ""level"": 26.565}, {""date"": ""20231129"", ""kind"": ""CHoCH↓"", ""level"": 25.185}, {""date"": ""20231218"", ""kind"": ""BOS↓"", ""level"": 22.775}]",0.31,strong_down,0.47,1.99,0.63,tp_sys_ok,0.64,down,0.51
002625.SZ,20231220,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231219"", ""detail"": ""光启技术:关于回购公司股份方案的公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231220"", ""detail"": ""次日开盘/回踩0.99限价""}]",3,SZ_MAIN,20231220,13.447,20240108,13.447,2.1291,12,BE,14.753,12.886,4.177,9.562086297711714,-1.4439469419959772,0.0,down,20231124,13.943,CHoCH↓,14.753,retrace_ok,反抽受限(延续下跌),18,8,CHoCH↓,20231124,"[{""date"": ""20231020"", ""kind"": ""BOS↓"", ""level"": 13.323}, {""date"": ""20231106"", ""kind"": ""CHoCH↑"", ""level"": 13.963}, {""date"": ""20231124"", ""kind"": ""CHoCH↓"", ""level"": 13.943}]",0.34,mild_down,0.45,1.97,0.72,tp_sys_ok,0.65,down,0.76
002978.SZ,20231220,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231219"", ""detail"": ""安宁股份:关于首次回购公司股份的公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231220"", ""detail"": ""次日开盘/回踩0.99限价""}]",5,SZ_MAIN,20231220,29.523,20231221,29.35,-0.9853,1,SL_HIT,32.403,29.35,0.587,0.3387189648748512,-1.998441892761571,-1.0,down,20231218,29.663,BOS↓,29.553,retrace_ok,反抽受限(延续下跌),11,25,BOS↓,20231218,"[{""date"": ""20231115"", ""kind"": ""CHoCH↑"", ""level"": 31.693}, {""date"": ""20231130"", ""kind"": ""CHoCH↓"", ""level"": 31.513}, {""date"": ""20231218"", ""kind"": ""BOS↓"", ""level"": 29.663}]",0.31,strong_down,0.38,2.01,0.68,tp_sys_ok,0.63,down,0.6
301115.SZ,20231220,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231219"", ""detail"": ""建科股份:回购报告书""}, {""name"": ""入场(T+1)"", ""date"": ""20231220"", ""detail"": ""次日开盘/回踩0.99限价""}]",3,CYB,20231220,17.87,20231221,17.613,-1.8339,1,SL_HIT,19.23,17.613,1.437,0.05595970900951208,-2.7420257414661586,-1.0,down,20231219,17.76,BOS↓,,no_retrace,尚未反抽,13,3,BOS↓,20231219,"[{""date"": ""20231108"", ""kind"": ""CHoCH↑"", ""level"": 18.78}, {""date"": ""20231130"", ""kind"": ""CHoCH↓"", ""level"": 18.66}, {""date"": ""20231219"", ""kind"": ""BOS↓"", ""level"": 17.76}]",0.36,mild_down,0.38,2.12,0.64,tp_sys_ok,0.77,down,0.39
301305.SZ,20231220,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231219"", ""detail"": ""朗坤环境:关于公司实际控制人股份增持计划的公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231220"", ""detail"": ""次日开盘/回踩0.99限价""}]",4,CYB,20231220,17.231,20231221,16.962,-1.9595,1,SL_HIT,19.051,16.962,1.563,1.2767686147060475,-1.624978236898622,-1.0,down,20231205,18.161,BOS↓,18.461,retrace_ok,反抽受限(延续下跌),13,11,BOS↓,20231205,"[{""date"": ""20231106"", ""kind"": ""CHoCH↑"", ""level"": 18.641}, {""date"": ""20231124"", ""kind"": ""CHoCH↓"", ""level"": 18.401}, {""date"": ""20231205"", ""kind"": ""BOS↓"", ""level"": 18.161}]",0.31,strong_down,0.55,1.89,0.63,tp_sys_ok,0.59,down,0.57
300943.SZ,20231221,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231220"", ""detail"": ""春晖智控:回购股份报告书""}, {""name"": ""入场(T+1)"", ""date"": ""20231221"", ""detail"": ""次日开盘/回踩0.99限价""}]",3,CYB,20231221,13.385,20231225,13.032,-3.032,2,SL_HIT,14.62,13.032,2.637,1.2342358496204575,-2.9496144880760244,-1.0,down,20231206,13.82,CHoCH↓,13.82,retrace_ok,反抽受限(延续下跌),15,2,CHoCH↓,20231206,"[{""date"": ""20231106"", ""kind"": ""CHoCH↑"", ""level"": 14.12}, {""date"": ""20231115"", ""kind"": ""BOS↑"", ""level"": 14.26}, {""date"": ""20231206"", ""kind"": ""CHoCH↓"", ""level"": 13.82}]",0.36,mild_down,0.57,1.97,0.7,tp_sys_ok,0.66,down,0.71
600313.SH,20231221,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231220"", ""detail"": ""农发种业:中农发种业集团股份有限公司关于实际控制人之一致行动人增持公司股份的公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231221"", ""detail"": ""次日开盘/回踩0.99限价""}]",3,SH_MAIN,20231221,7.461,20231225,7.228,-3.5146,2,SL_HIT,8.141,7.228,3.121,0.13403029084573248,-3.4847875619890223,-1.0,down,20231218,7.301,BOS↓,7.431,retrace_ok,反抽受限(延续下跌),30,6,BOS↓,20231218,"[{""date"": ""20231128"", ""kind"": ""CHoCH↑"", ""level"": 7.981}, {""date"": ""20231204"", ""kind"": ""CHoCH↓"", ""level"": 7.801}, {""date"": ""20231218"", ""kind"": ""BOS↓"", ""level"": 7.301}]",0.3,strong_down,0.47,1.75,0.54,tp_sys_ok,0.5,down,0.63
603808.SH,20231221,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231220"", ""detail"": ""歌力思:北京市中伦(深圳)律师事务所关于深圳歌力思服饰股份有限公司控股股东增持股""}, {""name"": ""入场(T+1)"", ""date"": ""20231221"", ""detail"": ""次日开盘/回踩0.99限价""}]",6,SH_MAIN,20231221,9.392,20231225,8.758,-7.1322,2,SL_HIT,9.872,8.758,6.746,4.0459965928449915,-10.221465076660973,-1.0,up,20231219,9.282,CHoCH↑,9.232,retrace_ok,回踩到位(接多窗口),43,33,CHoCH↑,20231219,"[{""date"": ""20231124"", ""kind"": ""BOS↓"", ""level"": 9.452}, {""date"": ""20231205"", ""kind"": ""BOS↓"", ""level"": 9.312}, {""date"": ""20231219"", ""kind"": ""CHoCH↑"", ""level"": 9.282}]",0.62,mild_up,0.63,2.73,0.73,tp_sys_ok,0.85,up,0.42
002857.SZ,20231222,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231221"", ""detail"": ""三晖电气:关于首次回购公司股份的公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231222"", ""detail"": ""次日开盘/回踩0.99限价""}]",3,SZ_MAIN,20231222,16.008,20231225,15.73,-2.1348,1,SL_GAP,18.58,15.737,1.694,-0.6765240531474426,-2.862889875876895,-1.026,down,20231218,15.93,BOS↓,16.36,retrace_fail,反抽收复(破位失败),42,13,BOS↓,20231218,"[{""date"": ""20231124"", ""kind"": ""CHoCH↓"", ""level"": 17.57}, {""date"": ""20231204"", ""kind"": ""BOS↓"", ""level"": 16.92}, {""date"": ""20231218"", ""kind"": ""BOS↓"", ""level"": 15.93}]",0.37,strong_down,0.62,2.08,0.49,tp_sys_ok,0.58,down,0.57
300993.SZ,20231222,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231221"", ""detail"": ""玉马遮阳:关于回购公司股份方案的公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231222"", ""detail"": ""次日开盘/回踩0.99限价""}]",5,CYB,20231222,10.286,20231225,10.109,-2.1188,1,SL_HIT,11.63,10.109,1.722,-0.05930333168063795,-2.5869863213462962,-1.0,down,20231218,10.23,BOS↓,10.45,retrace_fail,反抽收复(破位失败),11,20,BOS↓,20231218,"[{""date"": ""20231113"", ""kind"": ""CHoCH↑"", ""level"": 11.06}, {""date"": ""20231205"", ""kind"": ""CHoCH↓"", ""level"": 11.06}, {""date"": ""20231218"", ""kind"": ""BOS↓"", ""level"": 10.23}]",0.36,strong_down,0.39,2.14,0.48,tp_sys_ok,0.57,down,0.6
601975.SH,20231226,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231225"", ""detail"": ""招商南油:招商南油关于以集中竞价交易方式回购公司股份方案的公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231226"", ""detail"": ""次日开盘/回踩0.99限价""}]",6,SH_MAIN,20231226,2.745,20240103,2.963,6.2067,5,TP2_RUNNER,2.963,2.552,7.043,7.931096030627227,0.28157521846667866,1.126,down,20231205,2.773,BOS↓,2.843,retrace_fail,反抽收复(破位失败),1,21,BOS↓,20231205,"[{""date"": ""20231013"", ""kind"": ""CHoCH↓"", ""level"": 3.153}, {""date"": ""20231116"", ""kind"": ""BOS↓"", ""level"": 2.913}, {""date"": ""20231205"", ""kind"": ""BOS↓"", ""level"": 2.773}]",0.38,strong_down,0.6,2.01,0.52,tp_sys_ok,0.54,down,0.59
600382.SH,20231227,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231226"", ""detail"": ""广东明珠:广东明珠集团股份有限公司关于以集中竞价交易方式回购股份达到5%暨回购进""}, {""name"": ""入场(T+1)"", ""date"": ""20231227"", ""detail"": ""次日开盘/回踩0.99限价""}]",3,SH_MAIN,20231227,4.43,20240105,4.74,5.9081,6,TP2_RUNNER,4.74,4.39,0.911,8.352144469525967,-0.22573363431150906,7.681,up,20231115,4.68,CHoCH↑,4.41,retrace_fail,回踩跌破(突破失败),7,12,CHoCH↑,20231115,"[{""date"": ""20230921"", ""kind"": ""CHoCH↑"", ""level"": 4.67}, {""date"": ""20231016"", ""kind"": ""CHoCH↓"", ""level"": 4.61}, {""date"": ""20231115"", ""kind"": ""CHoCH↑"", ""level"": 4.68}]",0.37,mild_up,0.71,1.74,0.46,sl_too_tight,0.28,up,0.31
001323.SZ,20231228,EVENT,2023,202312,insider-event,"[{""name"": ""披露日"", ""date"": ""20231227"", ""detail"": ""慕思股份:关于公司副总经理、财务总监增持公司股份的公告""}, {""name"": ""入场(T+1)"", ""date"": ""20231228"", ""detail"": ""次日开盘/回踩0.99限价""}]",6,SZ_MAIN,20231228,29.72,20240103,29.266,-1.9246,3,SL_HIT,33.18,29.266,1.528,3.264490339773496,-1.715354746667197,-1.0,down,20231214,30.83,BOS↓,31.19,retrace_ok,反抽受限(延续下跌),14,23,BOS↓,20231214,"[{""date"": ""20231019"", ""kind"": ""BOS↓"", ""level"": 34.93}, {""date"": ""20231129"", ""kind"": ""BOS↓"", ""level"": 32.0}, {""date"": ""20231214"", ""kind"": ""BOS↓"", ""level"": 30.83}]",0.33,strong_down,0.69,1.81,0.59,tp_sys_ok,0.56,down,0.75
